simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
Exact occurrences of the chain:
r: 1789
o: 992
i: 477
a: 403
e: 373
m: 249
g: 223
u: 137
f: 128
l: 117
d: 112

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   870              1740          1789                1            1  97.26103968697598%                 49  2.7389603130240356%
o                   507              1014           992                2            2  102.21774193548387%                22  2.217741935483871%
i                   231               462           477                3            3  96.85534591194968%                 15  3.1446540880503147%
e                   192               384           373                4            5  102.94906166219839%                11  2.949061662198391%
a                   191               382           403                5            4  94.78908188585608%                 21  5.2109181141439205%
m                   131               262           249                6            6  105.22088353413655%                13  5.220883534136546%
g                   107               214           223                7            7  95.96412556053812%                  9  4.0358744394618835%
u                    75               150           137                8            8  109.48905109489051%                13  9.48905109489051%
f                    68               136           128                9            9  106.25%                             8  6.25%
d                    62               124           112               10           11  110.71428571428572%                12  10.714285714285714%
l                    60               120           117               11           10  102.56410256410255%                 3  2.564102564102564%

######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   891              1782          1789                1            1  99.60871995528228%                  7  0.3912800447177194%
